active,latitude,longitude
Yes,42.415016,-82.2015738
Yes,43.028211,-82.2557008
Yes,43.000351,-82.3645663
Yes,42.785215,-81.175989
Yes,43.129665,-80.2867931
Yes,43.379241,-81.0023119
Yes,43.129747,-80.7626478
Yes,43.63484,-79.5627
Yes,45.438437,-75.655478
Yes,43.939923,-78.851447
Yes,43.884544,-79.045997
Yes,43.876503,-78.962747
Yes,44.251776,-76.5932
Yes,44.265649,-76.4966
Yes,44.158991,-77.398424
Yes,44.284028,-78.334799
Yes,43.665987,-79.779806
Yes,43.709845,-79.510333
Yes,43.781747,-79.749869
Yes,43.705989,-79.346028
Yes,43.608005,-79.652364
Yes,43.899,-78.860461
Yes,43.622862,-79.481943
Yes,42.835299, -80.314353
Yes,43.857558,-79.331709
Yes,45.007208,-75.638478
Yes,43.817324,-79.602129
Yes,43.756857,-79.246924
Yes,43.816045,-79.451932
Yes,43.910751,-80.87346
Yes,43.885871,-79.370284
Yes,42.981034,-82.360976
Yes,44.363675,-79.615731
Yes,43.238522,-79.887703
Yes,43.500872,-80.190589
Yes,44.916003,-79.372853
Yes,43.64017,-79.422434
Yes,43.638124,-79.390814
Yes,43.646155,-79.392523
Yes,43.655654,-79.380294
Yes,43.66471,-79.386957
Yes,43.661197,-79.340348
Yes,43.660233,-79.361351
Yes,43.708848,-79.398383
Yes,43.728226,-79.480708
Yes,43.7561,-79.515802
Yes,43.737262,-79.345868
Yes,43.176316,-79.791996
Yes,43.257082,-79.942283
Yes,42.038085,-82.601806
Yes,43.172742,-80.278776
Yes,43.470754,-80.512545
Yes,43.449786,-79.759353
Yes,43.498579,-79.707085
Yes,42.314149,-83.036402
Yes,42.965536,-82.37547
Yes,42.961714,-81.195847
Yes,43.446529,-79.688977
No,45.322496,-75.228366
Yes,43.780164,-79.41619
Yes,43.775468,-79.230478
Yes,43.725722,-79.48354
Yes,45.420237,-75.703091
Yes,43.600265,-79.709934
Yes,45.403362,-75.733829
Yes,43.649475,-79.528555
Yes,43.608813,-79.585251
Yes,43.966886,-79.263175
Yes,45.273914,-75.708782
Yes,42.993235,-81.264552
Yes,43.074612,-79.951863
Yes,45.412714,-75.696838
Yes,43.695688,-79.748271
Yes,43.02066,-81.312416
Yes,43.658365,-79.816897
Yes,42.984022,-81.245606
Yes,44.224098,-76.663118
Yes,43.666256,-79.412098
Yes,43.656554,-79.376161
Yes,43.650737,-79.913837
Yes,42.999011,-81.329217
Yes,42.388545,-82.165669
Yes,43.838376,-79.244699
Yes,43.235823,-79.105364
Yes,43.475642,-80.4849
Yes,43.667561,-79.369468
Yes,43.763935,-79.487526
Yes,43.522813,-79.682616
Yes,43.1348,-80.748462
Yes,43.216969,-79.865515
Yes,43.672023,-79.377024
Yes,45.472165,-75.491907
Yes,44.338735,-79.720795
Yes,43.771467,-79.361094
Yes,43.7976385,-79.201758
Yes,45.4142394,-75.695632
Yes,43.7979124,-79.425512
Yes,42.1685043,-82.814964
Yes,43.5887472,-79.740333
Yes,43.850009,-78.92117
Yes,43.7004056,-79.51651
Yes,45.0291622,-74.894363
Yes,43.664775,-79.781446
Yes,43.9658362,-78.167655
Yes,43.1054499,-79.112166
Yes,43.8981304,-78.8599642
Yes,43.7867812,-79.626782
Yes,43.87734,-79.408434
Yes,,
Yes,45.503158,-75.223869
Yes,48.541504,-80.470913
Yes,43.702398,-79.523408
Yes,42.977759,-82.389172
No,43.504701,-80.525427
Yes,43.523741,-80.23419
Yes,44.240331,-76.524996
Yes,43.691678,-79.349427
Yes,43.717867,-79.331872
Yes,43.71319,-79.327628
Yes,43.66103,-79.339121
Yes,43.703821,-79.277993
No,43.668107,-79.373525
Yes,44.479661,-80.068726
Yes,44.49378,-81.365455
Yes,43.114599,-80.760845
Yes,43.032069,-80.875459
Yes,44.986125,-81.249163
Yes,43.828368,-79.09729
Yes,43.6979692,-79.82364
Yes,42.299975,-82.99729
Yes,43.571934,-79.627027
Yes,43.733765,-79.720892
Yes,43.73421,-79.744613
Yes,43.5876019,-79.625953
No,45.409083,-75.701871
Yes,44.298756,-79.610451
Yes,43.713544,-79.632409
Yes,43.7130959,-79.727573
Yes,43.6900671,-79.815011
Yes,43.9004991,-79.266686
Yes,43.819761,-79.398232
Yes,43.9142609,-79.449601
Yes,43.8445141,-79.020235
Yes,43.612276,-79.686534
Yes,43.759427,-79.71649
Yes,43.658288,-79.725166
Yes,43.65853,-79.81677
Yes,43.581581,-79.712722
Yes,43.8871879,-78.904668
Yes,43.8961319,-78.873314
Yes,43.9361541,-78.867377
Yes,44.0681832,-79.431771
Yes,43.514591,-79.882253
Yes,43.5984222,-79.678857
Yes,43.229895,-79.765102
Yes,43.5447819,-79.681708
Yes,43.0150265,-79.248269
Yes,42.9750271,-79.240142
Yes,43.7595421,-79.728561
Yes,43.779001,-79.415672
Yes,43.6217672,-79.742923
Yes,43.2580381,-79.857035
Yes,43.731502,-79.760496
Yes,42.254312,-83.000636
Yes,43.7698881,-79.185325
Yes,43.7971559,-79.151061
Yes,42.291815,-83.058778
Yes,43.7151906,-79.452363
Yes,43.8214268,-79.326931
Yes,43.7410036,-79.583605
Yes,44.0966878,-79.129199
Yes,42.3339061,-82.943313
Yes,42.3133091,-82.900515
Yes,43.859426,-79.040164
Yes,43.8418544,-79.483474
Yes,43.7187334,-79.63621
Yes,43.650043,-79.761172
Yes,43.78315243,-79.18703624
Yes,43.71830253,-79.3742903
Yes,43.657098,-79.38773711
Yes,44.2625563,-79.0682532
Yes,43.70293592,-79.34272394
Yes,43.69498012,-79.28360498
Yes,43.8420662,-79.41588
Yes,44.42876718,-79.15436948
Yes,43.6106224,-79.578207
Yes,44.363276,-79.615607
Yes,44.30695053,-78.98889354
Yes,43.71828989,-79.63741124
Yes,43.74634533,-79.5813185
Yes,43.73093555,-79.82269001
Yes,43.92127028,-80.09931712
Yes,43.51284614,-79.66377342
Yes,43.66737207,-79.75879508
Yes,43.77830322,-79.27603967
Yes,42.60481997,-81.60565803
Yes,43.904327,-79.267905
Yes,43.3797568,-80.7111327
Yes,42.80904094,-81.53645678
Yes,43.75154856,-79.73854116
Yes,43.76792403,-79.65880998
Yes,43.81258796,-79.29489232
Yes,43.75902047,-79.51880993
Yes,43.84814712,-79.07476874
Yes,43.73478323,-79.58871093
Yes,42.989044,-81.229724
